-113.367 1623 1 4
-113.055 1691 2 4
-112.977   15 3 3
-112.742 1766 1 4
-112.43  1856 2 4
-112.117 1921 1 4
-111.977   31 3 3
-111.805 1975 2 4
-111.492 2020 1 4
-111.18  2081 2 4
-110.977   36 3 3
-110.867 2104 1 4
-110.555 2139 2 4
-110.242 2182 1 4
-109.977   41 3 3
-109.93  2210 2 4
-109.617 2264 1 4
-109.461 2284 1 4
-109.305 2284 1 4
-109.305 2281 2 4
-109.148 2295 1 4
-108.992 2297 1 4
-108.977   86 3 3
-108.836 2291 1 4
-108.68  2287 1 4
-108.68  2284 2 4
-108.523 2278 1 4
-108.367 2284 1 4
-108.055 2268 2 4
-107.977   82 3 3
-107.852  116 4 0
-107.742 2253 1 4
-107.43  2236 2 4
-107.117 2218 1 4
-106.977   58 3 3
-106.805 2189 2 4
-106.492 2163 1 4
-106.18  2127 2 4
-105.977   53 3 3
-105.867 2113 1 4
-105.555 2099 2 4
-105.242 2063 1 4
-104.977   43 3 3
-104.93  2017 2 4
-104.617 1979 1 4
-104.305 1935 2 4
-103.992 1895 1 4
-103.977   55 3 3
-103.68  1864 2 4
-103.367 1812 1 4
-103.055 1784 2 4
-102.977   76 3 3
-102.742 1730 1 4
-102.43  1692 2 4
-102.117 1639 1 4
-101.977   51 3 3
-101.805 1577 2 4
-101.492 1537 1 4
-101.18  1515 2 4
-100.977   36 3 3
-100.867 1480 1 4
-100.555 1421 2 4
-100.242 1387 1 4
 -99.977   42 3 3
 -99.93  1355 2 4
 -99.852  120 5 0
 -99.617 1316 1 4
 -99.305 1277 2 4
 -98.992 1235 1 4
 -98.977   29 3 3
 -98.68  1192 2 4
 -98.367 1159 1 4
 -98.055 1109 2 4
 -97.977   29 3 3
 -97.742 1076 1 4
 -97.43  1047 2 4
 -97.117 1016 1 4
 -96.977   27 3 3
 -96.805  989 2 4
 -96.492  959 1 4
 -96.18   924 2 4
 -95.977   23 3 3
 -95.867  893 1 4
 -95.555  855 2 4
 -95.242  818 1 4
 -94.977   18 3 3
 -94.93   793 2 4
 -94.617  761 1 4
 -94.305  729 2 4
 -93.992  702 1 4
 -93.977   15 3 3
 -93.68   678 2 4
 -93.367  653 1 4
 -93.055  625 2 4
 -92.977   12 3 3
 -92.742  601 1 4
 -92.43   576 2 4
 -92.117  553 1 4
 -91.977   10 3 3
 -91.852  126 8 0
 -91.805  534 2 4
 -91.492  517 1 4
 -91.18   498 2 4
 -90.977    7 3 3
 -90.867  478 1 4
 -90.555  463 2 4
 -90.242  448 1 4
 -89.977  100 3 2
 -89.93   435 2 4
 -89.617  425 1 4
 -89.305  409 2 4
 -88.992  397 1 4
 -88.977   70 3 2
 -88.68   386 2 4
 -88.367  375 1 4
 -88.055  364 2 4
 -87.977   72 3 2
 -87.742  354 1 4
 -87.43   343 2 4
 -87.117  332 1 4
 -86.977   72 3 2
 -86.805  323 2 4
 -86.492  316 1 4
 -86.18   307 2 4
 -85.977   69 3 2
 -85.867  298 1 4
 -85.555  288 2 4
 -85.242  280 1 4
 -84.977   55 3 2
 -84.93   271 2 4
 -84.617  262 1 4
 -84.305  256 2 4
 -83.992  248 1 4
 -83.977   29 3 2
 -83.852  119 6 0
 -83.68   240 2 4
 -83.367  233 1 4
 -83.055  227 2 4
 -82.977   27 3 2
 -82.742  220 1 4
 -82.43   214 2 4
 -82.117  208 1 4
 -81.977   44 3 2
 -81.805  203 2 4
 -81.492  196 1 4
 -81.18   192 2 4
 -80.977   59 3 2
 -80.867  188 1 4
 -80.555  184 2 4
 -80.242  179 1 4
 -79.977   49 3 2
 -79.93   175 2 4
 -79.617  171 1 4
 -79.305  167 2 4
 -78.992  163 1 4
 -78.977   48 3 2
 -78.68   161 2 4
 -78.367  157 1 4
 -78.055  154 2 4
 -77.977   40 3 2
 -77.742  150 1 4
 -77.43   148 2 4
 -77.117  144 1 4
 -76.977   20 3 2
 -76.805  142 2 4
 -76.492  138 1 4
 -76.18   136 2 4
 -75.977   30 3 2
 -75.867  133 1 4
 -75.852  120 7 0
 -75.555  130 2 4
 -75.242  127 1 4
 -74.977   20 3 2
 -74.93   126 2 4
 -74.617  122 1 4
 -74.305  123 2 4
 -73.992  120 1 4
 -73.977   24 3 2
 -73.68   117 2 4
 -73.367  115 1 4
 -73.055  112 2 4
 -72.977    2 3 2
 -72.742  109 1 4
 -72.43   107 2 4
 -72.117  104 1 4
 -71.977   14 3 2
 -71.805  102 2 4
 -71.492  100 1 4
 -71.18    99 2 4
 -70.977   11 3 2
 -70.867   97 1 4
 -70.555   95 2 4
 -70.242   93 1 4
 -69.977   18 3 2
 -69.93    91 2 4
 -69.617   89 1 4
 -69.305   87 2 4
 -68.992   85 1 4
 -68.977   10 3 2
 -68.68    83 2 4
 -68.367   82 1 4
 -68.055   80 2 4
 -67.977   12 3 2
 -67.852  119 4 0
 -67.742   80 1 4
 -67.43    78 2 4
 -67.117   76 1 4
 -66.977   29 3 2
 -66.805   74 2 4
 -66.492   73 1 4
 -66.18    71 2 4
 -65.977   48 3 2
 -65.867   69 1 4
 -65.555   67 2 4
 -65.242   66 1 4
 -64.977   60 3 2
 -64.93    64 2 4
 -64.617   62 1 4
 -64.305   61 2 4
 -63.992   60 1 4
 -63.977   71 3 2
