    .0961535424      -.4840622842       .8697347045       
     93.000             60.15614                          
   -61958.83984       28518.71094       21408.19727       
   -6.569686413     -11.261641502      -5.643949032       
   -.8651785254       .3913964629       .3134886622       
    .4919844568       .7827088833       .3812060356       
    .0961676687      -.4840429127       .8697438836       
     94.000             59.66805                          
   -61965.38281       28507.49219       21402.57617       
   -6.525516033     -11.191670418      -5.604033947       
   -.8654007316       .3910449743       .3133136034       
    .4918110371       .7827983499       .3812458515       
    .0961771309      -.4840216637       .8697546721       
     95.000             59.18410                          
   -61971.89453       28496.32813       21396.98828       
   -6.483845711     -11.126449585      -5.566845894       
   -.8654848933       .3909118176       .3132473826       
    .4916387498       .7828875780       .3812854588       
    .0961884633      -.4840013385       .8697646260       
     96.000             58.70365                          
   -61978.35156       28485.23242       21391.43945       
   -6.444661140     -11.066344261      -5.532611847       
   -.8655824661       .3907572627       .3131705821       
    .4914673567       .7829758525       .3813246787       
    .0961996242      -.4839811325       .8697746396       
     97.000             58.22572                          
   -61984.78516       28474.19531       21385.92383       
   -6.407874584     -11.011505127      -5.501432419       
   -.8656794429       .3906035721       .3130942583       
    .4912969470       .7830638885       .3813637793       
    .0962107331      -.4839610159       .8697845340       
     98.000             57.74940                          
   -61991.17578       28463.21484       21380.43945       
   -6.373209953     -10.961285591      -5.472930908       
   -.8658240438       .3903743029       .3129805624       
    .4911272824       .7831513286       .3814026415       
    .0962213501      -.4839408994       .8697947264       
     99.000             57.27390                          
   -61997.52734       28452.27148       21374.97656       
   -6.340435028     -10.915140152      -5.446791649       
   -.8659197688       .3902222216       .3129051924       
    .4909584522       .7832383513       .3814412951       
    .0962324589      -.4839210510       .8698045015       
    100.000             56.79855                          
   -62003.85547       28441.38086       21369.54297       
   -6.309349537     -10.872603416      -5.422740459       
   -.8660151362       .3900708258       .3128302097       
    .4907903671       .7833250165       .3814797997       
    .0962435752      -.4839013219       .8698142171       
    101.000             56.32276                          
   -62010.14453       28430.52539       21364.13086       
   -6.279786587     -10.833272934      -5.400544643       
   -.8661098480       .3899199665       .3127555251       
    .4906228483       .7834111452       .3815180659       
    .0962546766      -.4838816524       .8698238134       
    102.000             55.84601                          
   -62016.41797       28419.70898       21358.74023       
   -6.251601219     -10.796803474      -5.380002499       
   -.8662045002       .3897695839       .3126811385       
    .4904560447       .7834970951       .3815562129       
    .0962657258      -.4838620424       .8698334694       
    103.000             55.36787                          
   -62022.65234       28408.93164       21353.36914       
   -6.224666119     -10.762890816      -5.360936165       
   -.8662986755       .3896197379       .3126070499       
    .4902897477       .7835826874       .3815942407       
    .0962768048      -.4838425815       .8698430061       
    104.000             54.88798                          
   -62028.86719       28398.18164       21348.01563       
   -6.198876858     -10.731269836      -5.343192101       
   -.8663924932       .3894703090       .3125331998       
    .4901239872       .7836678624       .3816320896       
    .0962878913      -.4838232696       .8698527217       
    106.000             53.92171                          
   -62041.21484       28376.78125       21337.36523       
   -6.150372982     -10.673994064      -5.311134338       
   -.8665267825       .3892562389       .3124274909       
    .4897940755       .7838374376       .3817074001       
    .0963103995      -.4837848544       .8698714972       
    107.000             53.43488                          
   -62047.34766       28366.11914       21332.06250       
   -6.127506733     -10.647915840      -5.296573162       
   -.8666082025       .3891263902       .3123633862       
    .4896297753       .7839217782       .3817448616       
    .0963214859      -.4837657213       .8698809743       
    108.000             52.94537                          
   -62053.46875       28355.48242       21326.77148       
   -6.105484009     -10.623330116      -5.282863140       
   -.8667300344       .3889320791       .3122675419       
    .4894659221       .7840060592       .3817822933       
    .0963322818      -.4837464988       .8698905110       
    109.000             52.45306                          
   -62059.55859       28344.86914       21321.49414       
   -6.084252834     -10.600099564      -5.269926071       
   -.8668109179       .3888028562       .3122038245       
    .4893024266       .7840898633       .3818195164       
    .0963433459      -.4837274551       .8698998690       
    110.000             51.95786                          
   -62065.63281       28334.27930       21316.23047       
   -6.063768864     -10.578097343      -5.257686138       
   -.8668916821       .3886739016       .3121402860       
    .4891394079       .7841736078       .3818566799       
    .0963544175      -.4837084711       .8699091673       
    111.000             51.45972                          
   -62071.69141       28323.71484       21310.97656       
   -6.043993473     -10.557220459      -5.246083260       
   -.8669720888       .3885452449       .3120768070       
    .4889765978       .7842569947       .3818936944       
    .0963654593      -.4836894870       .8699184656       
    112.000             50.95861                          
   -62077.71875       28313.16992       21305.73828       
   -6.024893284     -10.537363052      -5.235055923       
   -.8670524359       .3884167969       .3120135665       
    .4888142049       .7843400836       .3819306493       
    .0963764936      -.4836706519       .8699277043       
    113.000             50.45455                          
   -62083.73828       28302.63477       21300.50781       
   -6.006436825     -10.518445969      -5.224554539       
   -.8672126532       .3881605268       .3118873239       
    .4886521697       .7844232321       .3819675148       
    .0963869765      -.4836515784       .8699372411       
    114.000             49.94756                          
   -62089.73438       28292.12891       21295.28906       
   -5.988600731     -10.500396729      -5.214537621       
   -.8672824502       .3880486190       .3118322790       
    .4884904027       .7845060229       .3820042908       
    .0963980705      -.4836327732       .8699464798       
    115.000             49.43767                          
   -62095.71484       28281.64063       21290.08008       
   -5.971356392     -10.483158112      -5.204975605       
   -.8673347831       .3879648745       .3117910624       
    .4883291125       .7845886946       .3820409775       
    .0964092612      -.4836141467       .8699555993       
    116.000             48.92497                          
   -62101.67578       28271.16211       21284.87891       
   -5.954713345     -10.466537476      -5.195743561       
   -.8674261570       .3878184259       .3117190003       
    .4881679118       .7846711874       .3820776045       
    .0964201763      -.4835953414       .8699647188       
    117.000             48.40971                          
   -62107.62891       28260.70703       21279.68945       
   -5.938685894     -10.450354576      -5.186731339       
   -.8676688075       .3874291778       .3115276098       
    .4880070388       .7847534418       .3821141124       
    .0964302048      -.4835762382       .8699742556       
    118.000             47.89216                          
   -62113.55469       28250.25977       21274.50391       
   -5.923263550     -10.434587479      -5.177927017       
   -.8674964905       .3877056241       .3116635382       
    .4878464639       .7848355174       .3821505308       
    .0964426771      -.4835582674       .8699828386       
    119.000             47.37262                          
   -62119.47266       28239.83594       21269.33203       
   -5.908440590     -10.419216156      -5.169318199       
