   0  15.500 Hi 75             
 457  34.    Hi 75             
 458  35.    Hi 75             
 459  36.    Hi 75             
 460  37.    Hi 75             
 461  38.    Hi 75             
 462  39.    Hi 75             
 463  40.    Hi 75 m           
 464  41.    Hi 75             
 465  42.    Hi 75             
 466  43.    Hi 75             
 467  44.    Hi 75 m           
 468  47.    Hi 75             
 469  52.    Hi 75             
 470  58.    Hi 75             
 471  59.    Hi 75             
 472  60.    Hi 75             
 473  62.    Hi 75             
 474  64.    Hi 75             
 475  65.    Hi 75             
 476  66.    Hi 75             
 477  68.    Hi 75             
 478  72.    Hi 75             
 479  73.    Hi 75 m           
 480  74.    Hi 75             
 481  75.    Hi 75             
 482  76.    Hi 75             
 483  77.    Hi 75             
 484  78.    Hi 75             
 485  80.    Hi 75             
 486  81.    Hi 75             
 487  82.    Hi 75 m           
 488  83.    Hi 75             
 489  84.    Hi 75             
 490 122.    Hi 75             
 491 124.    Hi 75             
 492   2.    Hi 75 m           
 493   3.    Hi 75             
 494   4.    Hi 75             
 495  20.    Hi 75             
 496  21.    Hi 75             
 497  22.    Hi 75             
 498  23.    Hi 75             
 499  24.    Hi 75             
 500  25.    Hi 75             
 501  26.    Hi 75             
 502  27.    Hi 75             
 503  28.    Hi 75 m           
 504  29.    Hi 75             
 505  30.    Hi 75             
 506  31.    Hi 75             
 507  32.    Hi 75 m           
 508  33.    Hi 75             
 509  34.    Hi 75             
 510  35.    Hi 75             
 511  36.    Hi 75             
 512  12.    Hi 75             
 513  13.    Hi 75             
 514  14.    Hi 75             
 515  15.    Hi 75             
 516  16.    Hi 75 m           
 517  17.    Hi 75             
 518  18.    Hi 75             
 519  19.    Hi 75             
 520  37.    Hi 75             
 521  38.    Hi 75             
 522  39.    Hi 75             
 523  40.    Hi 75 m           
 524  41.    Hi 75             
 525  42.    Hi 75             
 526  43.    Hi 75             
 527  44.    Hi 75             
 528  45.    Hi 75             
 529  46.    Hi 75             
 530  47.    Hi 75             
 531  48.    Hi 75             
 532  49.    Hi 75             
 533  50.    Hi 75             
 534  51.    Hi 75             
 535  52.    Hi 75 m           
 536  53.    Hi 75             
 537  54.    Hi 75             
 538  55.    Hi 75             
 539  56.    Hi 75             
 540  57.    Hi 75             
 541  58.    Hi 75             
 542  59.    Hi 75             
 543  60.    Hi 75 m           
 544  61.    Hi 75             
 545  62.    Hi 75             
 546  63.    Hi 75             
 547  64.    Hi 75             
 548  65.    Hi 75             
 549  66.    Hi 75 m           
 550  67.    Hi 75             
 551  68.    Hi 75             
